task_id,asset_id,department,maintenance_type,corridor_id,section_id,task_date,deadline,risk_score,priority_score,required_duration_minutes,required_team_size,preferred_start_minute,max_delay_tolerance_minutes,can_bundle
TASK-004401,AST-021120,Track / Civil Engineering,Rail Inspection,COR-003,SEC-0022,2025-08-11,2025-08-16,70.2,64.0,164,4,485,0,No
TASK-004402,AST-052720,Track / Civil Engineering,Turnout Maintenance,COR-009,SEC-0087,2026-07-17,2026-07-24,90.5,86.3,147,3,120,15,Yes
TASK-004403,AST-121753,Electrical / TRD,OHE Inspection,COR-015,SEC-0142,2028-06-26,2028-06-28,80.5,69.5,104,2,0,0,No
TASK-004404,AST-093729,Track / Civil Engineering,Turnout Maintenance,COR-014,SEC-0134,2027-09-09,2027-09-10,64.8,51.0,155,3,120,60,Yes
TASK-004405,AST-138577,Track / Civil Engineering,Rail Inspection,COR-004,SEC-0032,2028-12-23,2028-12-25,72.4,63.0,195,3,60,30,Yes
TASK-004406,AST-144116,Track / Civil Engineering,Rail Grinding,COR-019,SEC-0184,2029-02-21,2029-02-26,78.1,67.0,155,2,1113,30,Yes
TASK-004407,AST-087132,Electrical / TRD,Switchgear Inspection,COR-019,SEC-0188,2027-06-28,2027-06-29,60.9,42.6,173,5,0,120,No
TASK-004408,AST-034234,Mechanical / Rolling Stock,Brake Inspection,COR-011,SEC-0101,2026-01-01,2026-01-06,62.9,48.3,62,4,243,60,Yes
TASK-004409,AST-130902,Electrical / TRD,Feeder Maintenance,COR-002,SEC-0020,2028-10-06,2028-10-16,66.1,51.7,152,3,275,120,Yes
TASK-004410,AST-127047,Signal & Telecommunications (S&T),Telecom Inspection,COR-015,SEC-0145,2028-08-28,2028-09-04,70.6,59.0,180,3,1320,0,Yes
TASK-004411,AST-148098,Track / Civil Engineering,Rail Grinding,COR-007,SEC-0064,2029-03-24,2029-04-07,67.5,59.0,140,2,180,30,No
TASK-004412,AST-061269,Electrical / TRD,OHE Inspection,COR-013,SEC-0121,2026-10-10,2026-10-24,73.8,61.7,175,2,621,120,Yes
TASK-004413,AST-002701,Electrical / TRD,Transformer Inspection,COR-006,SEC-0056,2025-02-12,2025-02-14,76.4,70.8,143,5,60,30,No
TASK-004414,AST-037878,Mechanical / Rolling Stock,Axle Inspection,COR-007,SEC-0068,2026-02-03,2026-02-10,81.0,72.2,162,3,1380,60,Yes
TASK-004415,AST-030882,Signal & Telecommunications (S&T),Signal Inspection,COR-011,SEC-0110,2025-11-24,2025-11-25,87.0,80.7,109,5,1068,30,Yes
TASK-004416,AST-039073,Electrical / TRD,Switchgear Inspection,COR-019,SEC-0189,2026-02-22,2026-02-23,86.7,81.9,142,2,275,15,Yes
TASK-004417,AST-120484,Mechanical / Rolling Stock,Wheelset Inspection,COR-004,SEC-0040,2028-06-10,2028-06-13,84.4,81.9,50,3,0,30,Yes
TASK-004418,AST-072700,Electrical / TRD,Transformer Inspection,COR-013,SEC-0130,2027-02-03,2027-02-17,75.1,60.8,152,4,0,60,Yes
TASK-004419,AST-096479,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-007,SEC-0062,2027-10-14,2027-10-16,51.4,37.3,96,6,962,30,Yes
TASK-004420,AST-041551,Track / Civil Engineering,Rail Inspection,COR-019,SEC-0188,2026-03-11,2026-03-12,85.5,81.0,208,2,120,30,Yes
TASK-004421,AST-101048,Signal & Telecommunications (S&T),Relay Testing,COR-012,SEC-0117,2027-11-21,2027-11-28,70.1,56.8,128,6,23,0,Yes
TASK-004422,AST-083038,Track / Civil Engineering,Rail Grinding,COR-017,SEC-0163,2027-05-23,2027-06-02,98.9,95.5,118,5,697,60,Yes
TASK-004423,AST-007248,Track / Civil Engineering,Ballast Tamping,COR-005,SEC-0046,2025-03-30,2025-04-09,64.7,48.5,214,5,120,15,Yes
TASK-004424,AST-069165,Track / Civil Engineering,Turnout Maintenance,COR-018,SEC-0179,2027-01-02,2027-01-05,87.2,82.3,127,5,180,30,No
TASK-004425,AST-096060,Electrical / TRD,Substation Maintenance,COR-019,SEC-0187,2027-10-07,2027-10-12,70.7,57.3,165,4,1320,60,Yes
TASK-004426,AST-003313,Track / Civil Engineering,Bridge Inspection,COR-001,SEC-0006,2025-02-06,2025-02-13,64.1,47.3,175,6,1380,60,No
TASK-004427,AST-117451,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-019,SEC-0182,2028-05-16,2028-05-23,66.5,54.6,74,4,1320,0,Yes
TASK-004428,AST-023285,Track / Civil Engineering,Rail Grinding,COR-010,SEC-0093,2025-09-04,2025-09-05,78.5,69.3,159,3,1320,60,Yes
TASK-004429,AST-097858,Signal & Telecommunications (S&T),Signal Inspection,COR-020,SEC-0199,2027-10-24,2027-10-26,51.6,43.3,114,4,1001,30,Yes
TASK-004430,AST-129107,Electrical / TRD,Switchgear Inspection,COR-001,SEC-0004,2028-09-07,2028-09-21,64.5,55.1,100,5,0,15,Yes
TASK-004431,AST-039466,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-008,SEC-0078,2026-02-20,2026-02-21,63.6,51.1,69,3,910,15,Yes
TASK-004432,AST-006248,Track / Civil Engineering,Bridge Inspection,COR-019,SEC-0185,2025-03-10,2025-03-13,99.0,89.3,146,4,143,30,No
TASK-004433,AST-003588,Electrical / TRD,Transformer Inspection,COR-003,SEC-0025,2025-02-14,2025-02-28,76.9,60.6,175,2,1380,60,Yes
TASK-004434,AST-029919,Track / Civil Engineering,Rail Inspection,COR-016,SEC-0156,2025-11-20,2025-11-25,99.0,90.8,159,4,1220,30,Yes
TASK-004435,AST-002470,Track / Civil Engineering,Rail Inspection,COR-003,SEC-0021,2025-02-06,2025-02-16,35.0,23.6,153,5,0,30,Yes
TASK-004436,AST-014905,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-017,SEC-0161,2025-06-17,2025-06-22,66.4,51.4,109,6,60,0,Yes
TASK-004437,AST-080563,Track / Civil Engineering,Bridge Inspection,COR-005,SEC-0047,2027-04-25,2027-04-27,99.0,89.5,170,4,1380,0,Yes
TASK-004438,AST-028567,Track / Civil Engineering,Rail Grinding,COR-008,SEC-0077,2025-11-08,2025-11-10,72.7,65.6,175,4,60,60,Yes
TASK-004439,AST-110371,Track / Civil Engineering,Sleeper Replacement,COR-014,SEC-0134,2028-02-29,2028-03-10,99.0,90.9,102,2,180,30,Yes
TASK-004440,AST-062654,Track / Civil Engineering,Bridge Inspection,COR-013,SEC-0129,2026-10-17,2026-10-27,94.1,92.2,120,3,1142,60,No
TASK-004441,AST-031086,Signal & Telecommunications (S&T),Relay Testing,COR-007,SEC-0064,2025-12-04,2025-12-07,57.9,44.5,83,2,120,120,Yes
TASK-004442,AST-079531,Electrical / TRD,Switchgear Inspection,COR-003,SEC-0023,2027-04-16,2027-04-17,95.4,93.4,95,3,873,15,Yes
TASK-004443,AST-097093,Electrical / TRD,Feeder Maintenance,COR-006,SEC-0060,2027-10-19,2027-10-21,68.2,48.3,159,4,120,30,No
TASK-004444,AST-059818,Track / Civil Engineering,Bridge Inspection,COR-019,SEC-0185,2026-09-19,2026-09-29,79.7,65.5,157,4,199,0,No
TASK-004445,AST-073198,Track / Civil Engineering,Bridge Inspection,COR-017,SEC-0163,2027-02-11,2027-02-18,99.0,89.1,99,3,60,0,Yes
TASK-004446,AST-125620,Mechanical / Rolling Stock,Bearing Inspection,COR-014,SEC-0140,2028-08-04,2028-08-18,60.3,38.7,109,5,1039,0,Yes
TASK-004447,AST-003630,Track / Civil Engineering,Ballast Tamping,COR-006,SEC-0055,2025-02-14,2025-02-21,99.0,91.3,140,4,1033,0,Yes
TASK-004448,AST-071018,Track / Civil Engineering,Sleeper Replacement,COR-003,SEC-0028,2027-01-12,2027-01-19,90.9,89.2,141,4,1199,120,Yes
TASK-004449,AST-137594,Mechanical / Rolling Stock,Brake Inspection,COR-012,SEC-0120,2028-12-09,2028-12-10,76.6,68.9,102,5,120,0,Yes
TASK-004450,AST-080374,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-017,SEC-0168,2027-04-23,2027-04-25,68.3,50.4,81,6,1128,15,Yes
TASK-004451,AST-003513,Mechanical / Rolling Stock,Wheelset Inspection,COR-020,SEC-0199,2025-02-14,2025-02-17,52.2,44.6,136,4,120,120,Yes
TASK-004452,AST-031152,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-017,SEC-0164,2025-12-01,2025-12-02,56.9,43.1,67,3,120,30,Yes
TASK-004453,AST-009899,Electrical / TRD,Catenary Repair,COR-001,SEC-0010,2025-04-18,2025-04-21,84.2,64.5,138,6,1380,15,Yes
TASK-004454,AST-106289,Track / Civil Engineering,Sleeper Replacement,COR-009,SEC-0085,2028-01-24,2028-01-31,69.3,54.6,156,2,180,15,Yes
TASK-004455,AST-145130,Track / Civil Engineering,Turnout Maintenance,COR-015,SEC-0142,2029-02-21,2029-03-07,97.2,95.8,182,5,0,120,No
TASK-004456,AST-057816,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-008,SEC-0071,2026-08-29,2026-08-31,82.8,68.2,110,2,1320,15,No
TASK-004457,AST-000463,Track / Civil Engineering,Rail Inspection,COR-003,SEC-0030,2025-01-07,2025-01-14,75.0,60.3,120,4,81,120,Yes
TASK-004458,AST-060809,Track / Civil Engineering,Rail Grinding,COR-013,SEC-0127,2026-10-02,2026-10-04,86.9,82.6,186,4,810,60,Yes
TASK-004459,AST-103032,Electrical / TRD,Substation Maintenance,COR-006,SEC-0055,2027-12-16,2027-12-21,92.4,84.6,96,5,60,0,Yes
TASK-004460,AST-101656,Mechanical / Rolling Stock,Brake Inspection,COR-016,SEC-0153,2027-12-02,2027-12-12,60.9,49.1,129,3,60,30,Yes
TASK-004461,AST-054087,Track / Civil Engineering,Rail Inspection,COR-010,SEC-0091,2026-07-24,2026-07-29,78.0,69.4,123,6,1053,120,Yes
TASK-004462,AST-081910,Mechanical / Rolling Stock,Bearing Inspection,COR-014,SEC-0135,2027-05-06,2027-05-16,61.0,46.0,117,5,372,120,Yes
TASK-004463,AST-016756,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-010,SEC-0100,2025-06-25,2025-07-05,82.1,66.2,127,2,180,0,No
TASK-004464,AST-120163,Mechanical / Rolling Stock,Bearing Inspection,COR-006,SEC-0057,2028-06-09,2028-06-16,80.6,64.9,116,2,180,15,Yes
TASK-004465,AST-054946,Track / Civil Engineering,Ballast Tamping,COR-006,SEC-0060,2026-08-09,2026-08-14,72.6,66.3,153,2,1380,15,Yes
TASK-004466,AST-033612,Track / Civil Engineering,Ballast Tamping,COR-011,SEC-0102,2025-12-19,2025-12-24,78.4,70.1,119,6,1398,15,Yes
TASK-004467,AST-131314,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-015,SEC-0149,2028-10-13,2028-10-15,99.0,86.7,138,5,120,15,Yes
TASK-004468,AST-146498,Signal & Telecommunications (S&T),Telecom Inspection,COR-019,SEC-0184,2029-03-15,2029-03-22,65.8,51.6,75,4,0,30,Yes
TASK-004469,AST-030007,Track / Civil Engineering,Bridge Inspection,COR-011,SEC-0109,2025-11-11,2025-11-21,66.0,53.4,208,3,457,30,Yes
TASK-004470,AST-013952,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-009,SEC-0086,2025-05-30,2025-06-02,69.3,51.8,82,4,180,30,Yes
TASK-004471,AST-085966,Track / Civil Engineering,Sleeper Replacement,COR-019,SEC-0185,2027-06-21,2027-06-22,90.1,76.0,105,6,1380,30,Yes
TASK-004472,AST-040519,Track / Civil Engineering,Bridge Inspection,COR-002,SEC-0011,2026-03-08,2026-03-10,62.3,46.4,134,4,1380,120,No
TASK-004473,AST-006604,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-014,SEC-0132,2025-03-20,2025-03-22,81.6,72.7,146,4,1036,15,No
TASK-004474,AST-128800,Track / Civil Engineering,Ballast Tamping,COR-014,SEC-0132,2028-09-05,2028-09-07,99.0,96.1,186,4,120,15,Yes
TASK-004475,AST-148895,Track / Civil Engineering,Ballast Tamping,COR-004,SEC-0035,2029-04-02,2029-04-07,63.8,50.8,103,3,120,15,No
TASK-004476,AST-127659,Mechanical / Rolling Stock,Bearing Inspection,COR-002,SEC-0014,2028-08-25,2028-09-04,73.3,61.8,134,5,180,30,Yes
TASK-004477,AST-078916,Track / Civil Engineering,Rail Grinding,COR-019,SEC-0186,2027-04-05,2027-04-06,94.8,87.4,99,4,707,120,Yes
TASK-004478,AST-034464,Track / Civil Engineering,Ballast Tamping,COR-020,SEC-0195,2026-01-05,2026-01-10,73.0,62.2,112,4,60,120,No
TASK-004479,AST-143921,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-016,SEC-0160,2029-02-20,2029-03-02,69.1,55.5,83,2,982,120,Yes
TASK-004480,AST-057826,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-016,SEC-0159,2026-09-01,2026-09-04,99.0,94.5,121,2,634,0,Yes
TASK-004481,AST-119015,Electrical / TRD,Switchgear Inspection,COR-018,SEC-0176,2028-06-03,2028-06-17,66.0,54.3,168,3,1320,15,Yes
TASK-004482,AST-128196,Track / Civil Engineering,Turnout Maintenance,COR-013,SEC-0127,2028-09-07,2028-09-12,66.5,51.8,97,6,60,30,No
TASK-004483,AST-051261,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-019,SEC-0187,2026-06-20,2026-06-21,68.6,50.6,120,2,588,120,Yes
TASK-004484,AST-119815,Electrical / TRD,OHE Inspection,COR-020,SEC-0195,2028-06-15,2028-06-29,74.6,61.2,180,3,915,15,Yes
TASK-004485,AST-042044,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-012,SEC-0111,2026-03-28,2026-03-29,66.7,56.7,101,4,60,60,Yes
TASK-004486,AST-032850,Track / Civil Engineering,Ballast Tamping,COR-015,SEC-0143,2025-12-23,2025-12-30,53.4,40.9,139,3,1380,120,No
TASK-004487,AST-012905,Track / Civil Engineering,Bridge Inspection,COR-006,SEC-0059,2025-05-26,2025-05-29,80.2,70.8,127,4,180,60,Yes
TASK-004488,AST-145924,Track / Civil Engineering,Sleeper Replacement,COR-010,SEC-0097,2029-03-03,2029-03-10,91.2,89.6,193,5,60,30,No
TASK-004489,AST-112071,Track / Civil Engineering,Ballast Tamping,COR-007,SEC-0062,2028-03-17,2028-03-20,75.6,66.3,150,4,761,60,No
TASK-004490,AST-092786,Electrical / TRD,Feeder Maintenance,COR-009,SEC-0083,2027-08-29,2027-09-01,82.3,68.5,122,5,180,30,Yes
TASK-004491,AST-122619,Electrical / TRD,Feeder Maintenance,COR-010,SEC-0092,2028-07-12,2028-07-13,99.0,94.2,129,3,60,0,Yes
TASK-004492,AST-006205,Track / Civil Engineering,Rail Grinding,COR-016,SEC-0152,2025-03-14,2025-03-21,90.4,81.3,202,6,1320,120,Yes
TASK-004493,AST-120943,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-016,SEC-0151,2028-06-26,2028-07-01,63.1,47.8,191,4,180,30,Yes
TASK-004494,AST-016444,Track / Civil Engineering,Sleeper Replacement,COR-020,SEC-0199,2025-07-02,2025-07-12,81.7,71.7,136,3,1320,60,Yes
TASK-004495,AST-101358,Electrical / TRD,Substation Maintenance,COR-004,SEC-0038,2027-11-24,2027-11-26,68.2,52.7,184,5,218,0,Yes
TASK-004496,AST-066368,Electrical / TRD,Transformer Inspection,COR-018,SEC-0171,2026-12-02,2026-12-09,49.5,45.9,100,6,60,15,Yes
TASK-004497,AST-012999,Track / Civil Engineering,Turnout Maintenance,COR-008,SEC-0080,2025-05-30,2025-06-06,45.2,32.0,125,2,1186,60,Yes
TASK-004498,AST-137937,Signal & Telecommunications (S&T),Telecom Inspection,COR-018,SEC-0171,2028-12-11,2028-12-18,97.1,92.5,134,3,1063,15,No
TASK-004499,AST-011269,Track / Civil Engineering,Rail Grinding,COR-011,SEC-0105,2025-05-03,2025-05-10,51.0,41.1,161,6,120,0,Yes
TASK-004500,AST-100711,Mechanical / Rolling Stock,Axle Inspection,COR-010,SEC-0095,2027-11-21,2027-11-28,42.9,36.2,153,5,120,30,No
TASK-004501,AST-073041,Electrical / TRD,Switchgear Inspection,COR-002,SEC-0017,2027-02-10,2027-02-11,67.0,47.8,146,4,1165,15,No
TASK-004502,AST-011321,Signal & Telecommunications (S&T),Telecom Inspection,COR-019,SEC-0185,2025-05-03,2025-05-10,60.0,46.1,103,6,180,0,Yes
TASK-004503,AST-130766,Track / Civil Engineering,Rail Grinding,COR-012,SEC-0115,2028-10-06,2028-10-11,75.5,63.0,129,2,710,30,Yes
TASK-004504,AST-044960,Signal & Telecommunications (S&T),Relay Testing,COR-005,SEC-0048,2026-04-16,2026-04-18,63.7,49.5,144,3,1380,15,No
TASK-004505,AST-073376,Track / Civil Engineering,Bridge Inspection,COR-018,SEC-0180,2027-02-17,2027-02-22,70.1,65.0,186,2,366,30,Yes
TASK-004506,AST-055384,Track / Civil Engineering,Sleeper Replacement,COR-008,SEC-0071,2026-08-01,2026-08-03,87.9,81.1,173,6,180,120,Yes
TASK-004507,AST-094343,Mechanical / Rolling Stock,Wheelset Inspection,COR-006,SEC-0059,2027-09-22,2027-09-27,88.1,80.1,93,5,480,15,No
TASK-004508,AST-009456,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-004,SEC-0040,2025-04-19,2025-04-26,68.2,54.7,91,3,569,0,No
TASK-004509,AST-106020,Track / Civil Engineering,Sleeper Replacement,COR-002,SEC-0020,2028-01-19,2028-01-21,82.8,74.4,173,4,1320,120,Yes
TASK-004510,AST-083559,Track / Civil Engineering,Rail Inspection,COR-003,SEC-0025,2027-05-26,2027-05-31,65.3,46.5,132,5,1320,0,Yes
TASK-004511,AST-030747,Mechanical / Rolling Stock,Bearing Inspection,COR-006,SEC-0052,2025-11-20,2025-11-21,66.8,51.4,62,4,922,15,Yes
TASK-004512,AST-078129,Mechanical / Rolling Stock,Wheelset Inspection,COR-017,SEC-0166,2027-04-05,2027-04-12,41.8,40.2,108,2,60,15,Yes
TASK-004513,AST-003514,Electrical / TRD,Feeder Maintenance,COR-001,SEC-0006,2025-02-11,2025-02-25,66.4,50.6,88,3,998,15,Yes
TASK-004514,AST-045388,Track / Civil Engineering,Sleeper Replacement,COR-020,SEC-0197,2026-04-27,2026-05-02,85.2,85.3,141,4,1380,30,Yes
TASK-004515,AST-033092,Track / Civil Engineering,Sleeper Replacement,COR-006,SEC-0056,2025-12-25,2025-12-27,70.5,62.5,121,5,120,120,Yes
TASK-004516,AST-048353,Electrical / TRD,Switchgear Inspection,COR-009,SEC-0090,2026-05-24,2026-05-25,71.7,63.6,137,3,60,0,No
TASK-004517,AST-139140,Track / Civil Engineering,Bridge Inspection,COR-012,SEC-0117,2029-01-03,2029-01-06,99.0,87.8,145,5,120,30,No
TASK-004518,AST-082968,Track / Civil Engineering,Bridge Inspection,COR-019,SEC-0184,2027-05-17,2027-05-27,78.8,70.8,183,2,180,0,Yes
TASK-004519,AST-070891,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-008,SEC-0076,2027-01-22,2027-01-25,57.7,50.9,122,6,1320,30,Yes
TASK-004520,AST-070987,Track / Civil Engineering,Rail Grinding,COR-005,SEC-0044,2027-01-23,2027-01-30,63.5,49.6,86,3,120,60,No
TASK-004521,AST-003727,Electrical / TRD,Transformer Inspection,COR-012,SEC-0114,2025-02-11,2025-02-21,52.4,38.2,128,5,675,15,Yes
TASK-004522,AST-097632,Track / Civil Engineering,Turnout Maintenance,COR-014,SEC-0134,2027-10-16,2027-10-19,96.0,81.5,97,3,1064,0,No
TASK-004523,AST-037556,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-013,SEC-0126,2026-02-05,2026-02-08,51.1,41.4,163,6,628,15,Yes
TASK-004524,AST-027950,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-017,SEC-0167,2025-10-23,2025-10-28,57.0,41.3,154,2,1380,30,No
TASK-004525,AST-054527,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-003,SEC-0021,2026-07-27,2026-07-28,67.4,54.5,143,2,60,15,Yes
TASK-004526,AST-048514,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-006,SEC-0057,2026-05-28,2026-06-04,99.0,90.6,60,4,60,30,Yes
TASK-004527,AST-041781,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-013,SEC-0127,2026-03-20,2026-03-30,68.4,55.8,123,4,120,60,No
TASK-004528,AST-071883,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-010,SEC-0096,2027-01-28,2027-02-11,70.0,53.0,108,3,180,30,No
TASK-004529,AST-092532,Track / Civil Engineering,Rail Inspection,COR-004,SEC-0032,2027-08-28,2027-09-04,62.7,41.1,164,6,537,30,Yes
TASK-004530,AST-006915,Electrical / TRD,OHE Inspection,COR-012,SEC-0113,2025-03-25,2025-04-04,67.2,49.7,98,3,257,0,Yes
TASK-004531,AST-107628,Track / Civil Engineering,Sleeper Replacement,COR-003,SEC-0024,2028-01-28,2028-01-31,89.9,83.9,151,3,1380,30,Yes
TASK-004532,AST-058983,Electrical / TRD,Transformer Inspection,COR-003,SEC-0024,2026-09-17,2026-09-24,69.1,53.9,184,2,180,0,Yes
TASK-004533,AST-093981,Track / Civil Engineering,Bridge Inspection,COR-012,SEC-0111,2027-09-11,2027-09-12,91.1,80.3,84,4,180,0,Yes
TASK-004534,AST-012052,Signal & Telecommunications (S&T),Telecom Inspection,COR-012,SEC-0112,2025-05-20,2025-05-25,99.0,90.4,129,4,452,15,Yes
TASK-004535,AST-134144,Track / Civil Engineering,Bridge Inspection,COR-014,SEC-0132,2028-11-01,2028-11-04,77.0,64.6,119,3,120,15,No
TASK-004536,AST-142442,Track / Civil Engineering,Sleeper Replacement,COR-009,SEC-0090,2029-01-25,2029-01-30,82.0,68.1,158,5,120,30,Yes
TASK-004537,AST-009523,Electrical / TRD,Switchgear Inspection,COR-006,SEC-0052,2025-04-19,2025-04-22,53.7,38.4,190,5,0,0,Yes
TASK-004538,AST-073831,Track / Civil Engineering,Turnout Maintenance,COR-011,SEC-0108,2027-02-16,2027-02-19,66.0,53.0,150,3,0,120,Yes
TASK-004539,AST-134157,Track / Civil Engineering,Bridge Inspection,COR-016,SEC-0154,2028-11-03,2028-11-06,99.0,93.4,166,5,932,60,No
TASK-004540,AST-092253,Track / Civil Engineering,Bridge Inspection,COR-007,SEC-0070,2027-08-27,2027-08-28,79.4,73.6,176,3,1320,15,Yes
TASK-004541,AST-092542,Track / Civil Engineering,Bridge Inspection,COR-001,SEC-0002,2027-09-01,2027-09-11,82.4,71.4,174,5,1380,30,Yes
TASK-004542,AST-109090,Mechanical / Rolling Stock,Traction Motor Inspection,COR-018,SEC-0180,2028-02-21,2028-02-22,57.1,42.4,110,3,1320,60,No
TASK-004543,AST-127511,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-012,SEC-0115,2028-08-25,2028-08-30,79.2,68.6,119,2,1320,15,Yes
TASK-004544,AST-045236,Track / Civil Engineering,Ballast Tamping,COR-011,SEC-0109,2026-04-26,2026-04-27,64.7,51.7,180,4,688,15,Yes
TASK-004545,AST-145220,Track / Civil Engineering,Sleeper Replacement,COR-010,SEC-0100,2029-02-26,2029-03-03,68.9,55.6,87,2,60,60,Yes
TASK-004546,AST-093272,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-008,SEC-0077,2027-08-31,2027-09-05,99.0,100.0,104,6,1320,30,Yes
TASK-004547,AST-105790,Track / Civil Engineering,Sleeper Replacement,COR-020,SEC-0191,2028-01-16,2028-01-18,60.9,46.9,232,2,645,60,Yes
TASK-004548,AST-098264,Signal & Telecommunications (S&T),Telecom Inspection,COR-007,SEC-0066,2027-10-23,2027-10-24,99.0,95.8,143,3,180,60,Yes
TASK-004549,AST-010256,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-017,SEC-0164,2025-04-19,2025-04-24,94.8,89.8,83,3,1320,15,Yes
TASK-004550,AST-079321,Signal & Telecommunications (S&T),Signal Inspection,COR-004,SEC-0035,2027-04-08,2027-04-22,55.7,36.7,93,5,871,30,No
TASK-004551,AST-107829,Track / Civil Engineering,Bridge Inspection,COR-002,SEC-0015,2028-02-05,2028-02-06,79.7,65.7,135,5,826,60,Yes
TASK-004552,AST-038579,Track / Civil Engineering,Sleeper Replacement,COR-016,SEC-0160,2026-02-08,2026-02-18,84.4,67.0,104,2,1320,0,Yes
TASK-004553,AST-099338,Track / Civil Engineering,Sleeper Replacement,COR-013,SEC-0122,2027-11-11,2027-11-12,73.4,68.0,165,4,180,30,Yes
TASK-004554,AST-089200,Mechanical / Rolling Stock,Axle Inspection,COR-010,SEC-0093,2027-07-28,2027-08-02,68.0,57.3,132,6,1065,30,Yes
TASK-004555,AST-016192,Track / Civil Engineering,Bridge Inspection,COR-003,SEC-0024,2025-06-30,2025-07-14,74.4,64.6,80,6,404,60,Yes
TASK-004556,AST-011201,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-018,SEC-0176,2025-04-28,2025-05-08,64.3,45.2,93,4,515,30,No
TASK-004557,AST-118157,Track / Civil Engineering,Bridge Inspection,COR-012,SEC-0118,2028-05-25,2028-05-26,99.0,90.3,147,4,180,15,Yes
TASK-004558,AST-111250,Track / Civil Engineering,Rail Inspection,COR-015,SEC-0147,2028-03-16,2028-03-18,93.4,85.1,150,2,311,0,No
TASK-004559,AST-087387,Electrical / TRD,OHE Inspection,COR-006,SEC-0057,2027-07-09,2027-07-10,98.9,88.9,179,6,34,15,Yes
TASK-004560,AST-059025,Electrical / TRD,Feeder Maintenance,COR-003,SEC-0029,2026-09-08,2026-09-22,88.6,85.7,164,6,3,30,Yes
TASK-004561,AST-055743,Track / Civil Engineering,Rail Grinding,COR-018,SEC-0173,2026-08-13,2026-08-14,61.8,47.5,115,6,60,15,Yes
TASK-004562,AST-031087,Track / Civil Engineering,Ballast Tamping,COR-003,SEC-0021,2025-11-22,2025-12-06,91.4,89.3,156,3,120,120,Yes
TASK-004563,AST-084258,Track / Civil Engineering,Sleeper Replacement,COR-002,SEC-0016,2027-06-05,2027-06-07,90.8,87.1,173,4,1380,30,Yes
TASK-004564,AST-070291,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-011,SEC-0101,2027-01-16,2027-01-18,93.5,96.2,80,2,60,15,Yes
TASK-004565,AST-144530,Mechanical / Rolling Stock,Bearing Inspection,COR-011,SEC-0104,2029-02-22,2029-03-01,85.6,80.4,140,2,1320,30,No
TASK-004566,AST-039651,Track / Civil Engineering,Rail Grinding,COR-012,SEC-0117,2026-02-21,2026-02-28,66.5,51.6,164,2,349,30,No
TASK-004567,AST-129666,Track / Civil Engineering,Ballast Tamping,COR-007,SEC-0061,2028-09-15,2028-09-29,98.8,94.7,153,3,1160,15,Yes
TASK-004568,AST-141572,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-005,SEC-0045,2029-01-15,2029-01-16,73.3,64.9,108,5,774,60,Yes
TASK-004569,AST-045122,Track / Civil Engineering,Bridge Inspection,COR-006,SEC-0060,2026-04-27,2026-04-28,79.0,71.2,164,3,918,30,Yes
TASK-004570,AST-115263,Signal & Telecommunications (S&T),Signal Inspection,COR-018,SEC-0171,2028-04-21,2028-05-01,97.9,88.9,97,3,1354,120,Yes
TASK-004571,AST-089795,Track / Civil Engineering,Turnout Maintenance,COR-010,SEC-0099,2027-08-08,2027-08-09,94.4,88.3,117,6,120,15,Yes
TASK-004572,AST-147842,Track / Civil Engineering,Bridge Inspection,COR-001,SEC-0001,2029-04-03,2029-04-08,68.5,49.3,192,3,1380,30,No
TASK-004573,AST-087487,Track / Civil Engineering,Ballast Tamping,COR-017,SEC-0161,2027-07-07,2027-07-21,70.9,61.6,183,3,180,15,Yes
